# JobNameTable (n=4891) from jobname.lub
JT_14_3_MERCENARY_A	14_3_MERCENARY_A
JT_4_F_SOCCER	4_F_SOCCER
JT_4_F_SON	4_F_SON
JT_4_F_STARFISHGIRL	4_F_STARFISHGIRL
JT_4_F_SURA	4_F_SURA
JT_4_F_SWORDMAN	4_F_SWORDMAN
JT_4_F_TAEKWON	4_F_TAEKWON
JT_4_F_TELEPORTER	4_F_TELEPORTER
JT_4_F_THAIAYO	4_F_THAIAYO
JT_4_F_THAIGIRL	4_F_THAIGIRL
JT_4_F_THAISHAMAN	4_F_THAISHAMAN
JT_4_F_TRAINEE	4_F_TRAINEE
JT_4_F_TWGIRL	4_F_TWGIRL
JT_4_F_TWGRANDMOM	4_F_TWGRANDMOM
JT_4_F_TWMASKGIRL	4_F_TWMASKGIRL
JT_4_F_TWMIDWOMAN	4_F_TWMIDWOMAN
JT_4_F_UMGIRL	4_F_UMGIRL
JT_4_F_UMOLDWOMAN	4_F_UMOLDWOMAN
JT_4_F_UMWOMAN	4_F_UMWOMAN
JT_4_F_VALKYRIE	4_F_VALKYRIE
JT_4_F_VALKYRIE2	4_F_VALKYRIE2
JT_4_F_WANDERER	4_F_WANDERER
JT_4_F_YUNYANG	4_F_YUNYANG
JT_4_F_ZONDAGIRL	4_F_ZONDAGIRL
JT_4_GALAPAGO	4_GALAPAGO
JT_4_GARGOYLE_STATUE	4_GARGOYLE_STATUE
JT_4_GC109	4_GC109
JT_4_GEFFEN_01	4_geffen_01
JT_4_GEFFEN_02	4_geffen_02
JT_4_GEFFEN_03	4_geffen_03
JT_4_GEFFEN_04	4_geffen_04
JT_4_GEFFEN_05	4_geffen_05
JT_4_GEFFEN_06	4_geffen_06
JT_4_GEFFEN_07	4_geffen_07
JT_4_GEFFEN_08	4_geffen_08
JT_4_GEFFEN_09	4_geffen_09
JT_4_GEFFEN_10	4_geffen_10
JT_4_GEFFEN_11	4_geffen_11
JT_4_GEFFEN_12	4_geffen_12
JT_4_GEFFEN_13	4_geffen_13
JT_4_GEFFEN_14	4_geffen_14
JT_4_GHOSTRING	4_GHOSTRING
JT_4_GHOST_COLLAPSE	4_GHOST_COLLAPSE
JT_4_GHOST_STAND	4_GHOST_STAND
JT_4_GIBBET	4_gibbet
JT_4_GIGANTES	4_GIGANTES
JT_4_GIGANTES_BIG	4_GIGANTES_BIG
JT_4_GIGANTES_SMALL	4_GIGANTES_SMALL
JT_4_HARWORD	4_HARWORD
JT_4_HEN	4_hen
JT_4_HUMAN_GERUTOO	4_HUMAN_GERUTOO
JT_4_INJUSTICE	4_injustice
JT_4_JACK	4_JACK
JT_4_JACK_HEAD	4_jack_head
JT_4_JITTERBUG	4_jitterbug
JT_4_JJAK	4_JJAK
JT_4_JP_BRAGOLEM_H	4_JP_BRAGOLEM_H
JT_4_JP_EDGA_H	4_JP_EDGA_H
JT_4_JP_GARM_H	4_JP_GARM_H
JT_4_JP_MEDUSA_H	4_JP_MEDUSA_H
JT_4_JP_MID_SWIM	4_jp_mid_swim
JT_4_JP_RUNE_SWIM	4_jp_rune_swim
JT_4_KATRINN	4_KATRINN
JT_4_KAVAC	4_KAVAC
JT_4_KID01	4_KID01
JT_4_KING	4_king
JT_4_KULUNA	4_KULUNA
JT_4_LAM	4_LAM
JT_4_LEAFCAT	4_leafcat
JT_4_LEVITATEMAN	4_LEVITATEMAN
JT_4_LGTSCIENCE	4_LGTSCIENCE
JT_4_LOLI_RURI	4_LOLI_RURI
JT_4_LUDE	4_LUDE
JT_4_LUNATIC	4_lunatic
JT_4_LUNE	4_LUNE
JT_4_MACHINE_DEVICE	4_MACHINE_DEVICE
JT_4_MAGALETA	4_MAGALETA
JT_4_MALLINA	4_MALLINA
JT_4_MAL_BUDIDAI	4_MAL_BUDIDAI
JT_4_MAL_CAPTAIN	4_MAL_CAPTAIN
JT_4_MAL_KAFRA	4_MAL_KAFRA
JT_4_MAL_SOLDIER	4_MAL_SOLDIER
JT_4_MAN_BENKUNI	4_MAN_BENKUNI
JT_4_MAN_GALTUN	4_MAN_GALTUN
JT_4_MAN_GALTUN1	4_MAN_GALTUN1
JT_4_MAN_JERUTOO	4_MAN_JERUTOO
JT_4_MAN_LAVAIL	4_MAN_LAVAIL
JT_4_MAN_NITT	4_MAN_NITT
JT_4_MAN_PIOM	4_MAN_PIOM
JT_4_MAN_PIOM2	4_MAN_PIOM2
JT_4_MAN_PIOM3	4_MAN_PIOM3
JT_4_MAN_PIOM4	4_MAN_PIOM4
JT_4_MAN_PIOM5	4_MAN_PIOM5
JT_4_MAN_PIOM6	4_MAN_PIOM6
JT_4_MASK_SMOKEY	4_MASK_SMOKEY
JT_4_MIMIC	4_MIMIC
JT_4_MISTRESS	4_MISTRESS
JT_4_MISTY	4_MISTY
JT_4_MOONLIGHT	4_MOONLIGHT
JT_4_MORIN	4_MORIN
JT_4_MYSTCASE	MYSTCASE
JT_4_M_01	4_M_01
JT_4_M_02	4_M_02
JT_4_M_03	4_M_03
JT_4_M_04	4_M_04
JT_4_M_05	4_M_05
JT_4_M_06	4_M_06
JT_4_M_1STPRIN1	4_M_1STPRIN1
JT_4_M_1STPRIN2	4_M_1STPRIN2
JT_4_M_2NDPRIN1	4_M_2NDPRIN1
JT_4_M_2NDPRIN2	4_M_2NDPRIN2
JT_4_M_3RDPRIN1	4_M_3RDPRIN1
JT_4_M_3RDPRIN2	4_M_3RDPRIN2
JT_4_M_4THPRIN1	4_M_4THPRIN1
JT_4_M_4THPRIN2	4_M_4THPRIN2
JT_4_M_5THPRIN1	4_M_5THPRIN1
JT_4_M_5THPRIN2	4_M_5THPRIN2
JT_4_M_6THPRIN1	4_M_6THPRIN1
JT_4_M_6THPRIN2	4_M_6THPRIN2
JT_4_M_ACROSS	4_M_ACROSS
JT_4_M_AC_RUMIN	4_m_ac_rumin
JT_4_M_ALADDIN	4_m_aladdin
JT_4_M_ALBERTFORD	4_m_albertford
JT_4_M_ALCHE_A	4_M_ALCHE_A
JT_4_M_ALCHE_B	4_M_ALCHE_B
JT_4_M_ALCHE_C	4_M_ALCHE_C
JT_4_M_ALCHE_D	4_M_ALCHE_D
JT_4_M_ALCHE_E	4_M_ALCHE_E
JT_4_M_ANDREA	4_m_andrea
JT_4_M_ANDREA_D	4_m_andrea_d
JT_4_M_ANTONIO	4_M_ANTONIO
JT_4_M_ARCHER	4_M_ARCHER
JT_4_M_ARDHA	4_M_ARDHA
JT_4_M_ARUNA_NFM1	4_M_ARUNA_NFM1
JT_4_M_ATEIL	4_M_ATEIL
JT_4_M_BABYCAT	4_M_BABYCAT
JT_4_M_BARBER	4_M_BARBER
JT_4_M_BARD	4_M_BARD
JT_4_M_BARMUND	4_M_BARMUND
JT_4_M_BARYO_BOY	4_M_BARYO_BOY
JT_4_M_BARYO_MAN	4_M_BARYO_MAN
JT_4_M_BARYO_OLD	4_M_BARYO_OLD
JT_4_M_BELIEVER01	4_M_BELIEVER01
JT_4_M_BELIEVER02	4_M_BELIEVER02
JT_4_M_BIBI	4_M_BIBI
JT_4_M_BIRMAN	4_M_BIRMAN
JT_4_M_BLACKMAN	4_m_blackman
JT_4_M_BLUEMAN	4_m_blueman
JT_4_M_BONGUN	4_M_BONGUN
JT_4_M_BOSSCAT	4_M_BOSSCAT
JT_4_M_BRZ_INDIAN	4_M_BRZ_INDIAN
JT_4_M_BRZ_JACI	4_M_BRZ_JACI
JT_4_M_BRZ_MAN1	4_M_BRZ_MAN1
JT_4_M_BRZ_MAN2	4_M_BRZ_MAN2
JT_4_M_BUDDHIST	4_M_BUDDHIST
JT_4_M_CACTUS	4_m_cactus
JT_4_M_CACTUSCHIEF	4_m_cactuschief
JT_4_M_CACTUSCHILD	4_m_cactuschild
JT_4_M_CACTUSLADY	4_m_cactuslady
JT_4_M_CACTUSMAN1	4_m_cactusman1
JT_4_M_CACTUSMAN2	4_m_cactusman2
JT_4_M_CACTUSMAN3	4_m_cactusman3
JT_4_M_CASMAN1	4_M_CASMAN1
JT_4_M_CATMAN1	4_M_CATMAN1
JT_4_M_CATMAN2	4_M_CATMAN2
JT_4_M_CAVE1	4_M_CAVE1
JT_4_M_CHAMPSOUL	4_M_CHAMPSOUL
JT_4_M_CHAOS	4_m_chaos
JT_4_M_CHIEF_IRIN	4_m_chief_irin
JT_4_M_CHILD	4_M_CHILD
JT_4_M_CHILD1	4_M_CHILD1
JT_4_M_CHN8GUEK	4_M_CHN8GUEK
JT_4_M_CHNCOOK	4_M_CHNCOOK
JT_4_M_CHNGENERL	4_M_CHNGENERL
JT_4_M_CHNMAN	4_M_CHNMAN
JT_4_M_CHNMONK	4_M_CHNMONK
JT_4_M_CHNOLD	4_M_CHNOLD
JT_4_M_CHNSOLDIER	4_M_CHNSOLDIER
JT_4_M_COOKIE	4_M_COOKIE
JT_4_M_COSTELL	4_m_costell
JT_4_M_COWRAIDERS1	4_m_cowraiders1
JT_4_M_COWRAIDERS2	4_m_cowraiders2
JT_4_M_COWRAIDERS3	4_m_cowraiders3
JT_4_M_CRU	4_M_CRU
JT_4_M_CRU_CRUA	4_M_CRU_CRUA
JT_4_M_CRU_HEAD	4_M_CRU_HEAD
JT_4_M_CRU_KNT	4_M_CRU_KNT
JT_4_M_CRU_OLD	4_M_CRU_OLD
JT_4_M_CRU_SOLD	4_M_CRU_SOLD
JT_4_M_DANGDANG	4_m_dangdang
JT_4_M_DARKPRIEST	4_M_DARKPRIEST
JT_4_M_DEATH	4_M_DEATH
JT_4_M_DEATH2	4_M_DEATH2
JT_4_M_DEBON	4_M_DEBON
JT_4_M_DESERT	4_M_DESERT
JT_4_M_DEWBOY	4_M_DEWBOY
JT_4_M_DEWGIRL	4_M_DEWGIRL
JT_4_M_DEWMAN	4_M_DEWMAN
JT_4_M_DEWOLDMAN	4_M_DEWOLDMAN
JT_4_M_DEWOLDWOMAN	4_M_DEWOLDWOMAN
JT_4_M_DEWWOMAN	4_M_DEWWOMAN
JT_4_M_DEWZATICHIEF	4_M_DEWZATICHIEF
JT_4_M_DEWZATIMAN	4_M_DEWZATIMAN
JT_4_M_DIEMAN	4_M_DIEMAN
JT_4_M_DOCTOR	4_M_DOCTOR
JT_4_M_DOGTRAVELER	4_M_DOGTRAVELER
JT_4_M_DOGTRAVELER2	4_M_DOGTRAVELER2
JT_4_M_DOMINO	4_M_DOMINO
JT_4_M_DRAKE	4_M_DRAKE
JT_4_M_DRZONDA01	4_m_drzonda01
JT_4_M_DSTMAN	4_M_DSTMAN
JT_4_M_DSTMANDEAD	4_M_DSTMANDEAD
JT_4_M_DST_CHILD	4_M_DST_CHILD
JT_4_M_DST_GRAND	4_M_DST_GRAND
JT_4_M_DST_MASTER	4_M_DST_MASTER
JT_4_M_DST_TOUGH	4_M_DST_TOUGH
JT_4_M_DWARF	4_M_DWARF
JT_4_M_EDEN_GUARDER	4_M_EDEN_GUARDER
JT_4_M_EINMAN	4_M_EINMAN
JT_4_M_EINMAN2	4_M_EINMAN2
JT_4_M_EINMINER	4_M_EINMINER
JT_4_M_EINOLD	4_M_EINOLD
JT_4_M_EIN_SOLDIER	4_M_EIN_SOLDIER
JT_4_M_EISEN	4_m_eisen
JT_4_M_EVOKASCUDI	4_m_evokascudi
JT_4_M_FAIRYANG	4_m_fairyang
JT_4_M_FAIRYAVANT	4_m_fairyavant
JT_4_M_FAIRYFREAK	4_m_fairyfreak
JT_4_M_FAIRYKID	4_M_FAIRYKID
JT_4_M_FAIRYKID2	4_M_FAIRYKID2
JT_4_M_FAIRYKID3	4_M_FAIRYKID3
JT_4_M_FAIRYKID4	4_M_FAIRYKID4
JT_4_M_FAIRYKID5	4_M_FAIRYKID5
JT_4_M_FAIRYKID6	4_m_fairykid6
JT_4_M_FAIRYSCHOLAR	4_m_fairyscholar
JT_4_M_FAIRYSCHOLAR_DIRTY	4_m_fairyscholar_dirty
JT_4_M_FAIRYSOLDIER	4_M_FAIRYSOLDIER
JT_4_M_FAIRYSOLDIER2	4_M_FAIRYSOLDIER2
JT_4_M_FALLENGONY	4_m_fallengony
JT_4_M_FARIYKING	4_m_fariyking
JT_4_M_FARIY_HISIE	4_m_fariy_hisie
JT_4_M_FROZEN	4_M_FROZEN
JT_4_M_FROZEN1	4_M_FROZEN1
JT_4_M_FROZEN_GC	4_m_frozen_gc
JT_4_M_FROZEN_KN	4_m_frozen_kn
JT_4_M_GEF_SOLDIER	4_M_GEF_SOLDIER
JT_4_M_GENIE	4_m_genie
JT_4_M_GONY	4_m_gony
JT_4_M_GRANDMONK	4_M_GRANDMONK
JT_4_M_GREATPO	4_M_GREATPO
JT_4_M_GUILLOTINE	4_M_GUILLOTINE
JT_4_M_GUNSLINGER	4_M_GUNSLINGER
JT_4_M_GUNSLINGER2	4_m_gunslinger2
JT_4_M_GUNSLINGER3	4_m_gunslinger3
JT_4_M_GUSLIMAN	4_M_GUSLIMAN
JT_4_M_HEINRICH	4_M_HEINRICH
JT_4_M_HIGH_WIZARD	4_M_HIGH_WIZARD
JT_4_M_HIGH_WIZARD	4_m_highwizard
JT_4_M_HUBOY	4_M_HUBOY
JT_4_M_HUGRANFA	4_M_HUGRANFA
JT_4_M_HUMAN_01	4_M_HUMAN_01
JT_4_M_HUMAN_02	4_M_HUMAN_02
JT_4_M_HUMERCHANT	4_M_HUMERCHANT
JT_4_M_HUOLDARMY	4_M_HUOLDARMY
JT_4_M_IAN	4_M_IAN
JT_4_M_ILYA	4_m_ilya
JT_4_M_JOB_ASSASSIN	4_M_JOB_ASSASSIN
JT_4_M_JOB_BLACKSMITH	4_M_JOB_BLACKSMITH
JT_4_M_JOB_HUNTER	4_M_JOB_HUNTER
JT_4_M_JOB_KNIGHT1	4_M_JOB_KNIGHT1
JT_4_M_JOB_KNIGHT2	4_M_JOB_KNIGHT2
JT_4_M_JOB_WIZARD	4_M_JOB_WIZARD
JT_4_M_JOHNNYJAMES	4_m_johnnyjames
JT_4_M_JPN	4_M_JPN
JT_4_M_JPN2	4_M_JPN2
JT_4_M_JPNCHIBI	4_M_JPNCHIBI
JT_4_M_JPNOJI	4_M_JPNOJI
JT_4_M_JPNOJI2	4_M_JPNOJI2
JT_4_M_JP_BERKUT	4_M_JP_BERKUT
JT_4_M_JP_DARK_DARIUS	4_M_JP_DARK_DARIUS
JT_4_M_JP_DISH	4_M_JP_DISH
JT_4_M_JP_GUSTON	4_M_JP_GUSTON
JT_4_M_JP_JESTER	4_M_JP_JESTER
JT_4_M_JP_MID	4_M_JP_MID
JT_4_M_JP_RUN	4_M_JP_RUN
JT_4_M_KAGE_OLD	4_M_KAGE_OLD
JT_4_M_KEEN_SOLDIER	4_M_KEEN_SOLDIER
JT_4_M_KHBOY	4_M_KHBOY
JT_4_M_KHKIEL	4_M_KHKIEL
JT_4_M_KHKYEL	4_M_KHKYEL
JT_4_M_KHMAN	4_M_KHMAN
JT_4_M_KID1	4_M_KID1
JT_4_M_KID2	4_M_KID2
JT_4_M_KNG_RENO	4_m_kng_reno
JT_4_M_KNIGHT_BLACK	4_M_KNIGHT_BLACK
JT_4_M_KNIGHT_GOLD	4_M_KNIGHT_GOLD
JT_4_M_KNIGHT_SILVER	4_M_KNIGHT_SILVER
JT_4_M_KR_BOY	4_M_KR_BOY
JT_4_M_KY_HEAD	4_M_KY_HEAD
JT_4_M_KY_KIYOM	4_M_KY_KIYOM
JT_4_M_KY_KNT	4_M_KY_KNT
JT_4_M_KY_SOLD	4_M_KY_SOLD
JT_4_M_LAZY	4_m_lazy
JT_4_M_LGTGRAND	4_M_LGTGRAND
JT_4_M_LGTGUARD	4_M_LGTGUARD
JT_4_M_LGTGUARD2	4_M_LGTGUARD2
JT_4_M_LGTMAN	4_M_LGTMAN
JT_4_M_LGTPOOR	4_M_LGTPOOR
JT_4_M_LIEMAN	4_M_LIEMAN
JT_4_M_LYINGDOG	4_M_LYINGDOG
JT_4_M_MALAYA	4_M_MALAYA
JT_4_M_MANAGER	4_M_MANAGER
JT_4_M_MASK	4_M_MASK
JT_4_M_MASK1	4_M_MASK1
JT_4_M_MASKMAN	4_M_MASKMAN
JT_4_M_MAYOR	4_M_MAYOR
JT_4_M_MD_EREMES	4_m_md_eremes
JT_4_M_MD_EREMES_D	4_m_md_eremes_d
JT_4_M_MD_EREMES_H	4_m_md_eremes_h
JT_4_M_MD_HARWORD	4_m_md_harword
JT_4_M_MD_HARWORD_D	4_m_md_harword_d
JT_4_M_MD_HARWORD_H	4_m_md_harword_h
JT_4_M_MD_SEYREN	4_m_md_seyren
JT_4_M_MD_SEYREN_D	4_m_md_seyren_d
JT_4_M_MD_SEYREN_H	4_m_md_seyren_h
JT_4_M_MELODY	4_M_MELODY
JT_4_M_MERCAT1	4_M_MERCAT1
JT_4_M_MERCAT2	4_M_MERCAT2
JT_4_M_MIDDLE	4_M_MIDDLE
JT_4_M_MIDDLE1	4_M_MIDDLE1
JT_4_M_MIKID	4_M_MIKID
JT_4_M_MINISTER	4_M_MINISTER
JT_4_M_MINSTREL	4_M_MINSTREL
JT_4_M_MINSTREL1	4_M_MINSTREL1
JT_4_M_MOCASS1	4_M_MOCASS1
JT_4_M_MOCASS2	4_M_MOCASS2
JT_4_M_MOC_SOLDIER	4_M_MOC_SOLDIER
JT_4_M_MONK	4_M_MONK
JT_4_M_MUT1	4_M_MUT1
JT_4_M_MUT2	4_M_MUT2
JT_4_M_NEWOZ	4_m_newoz
JT_4_M_NFDEADMAN	4_M_NFDEADMAN
JT_4_M_NFDEADMAN2	4_M_NFDEADMAN2
JT_4_M_NFDEADSWDMAN	4_M_NFDEADSWDMAN
JT_4_M_NFLOSTMAN	4_M_NFLOSTMAN
JT_4_M_NFMAN	4_M_NFMAN
JT_4_M_NINJA_BLUE	4_M_NINJA_BLUE
JT_4_M_NINJA_RED	4_M_NINJA_RED
JT_4_M_NOFEARGUY	4_M_NOFEARGUY
JT_4_M_NOVELIST	4_M_NOVELIST
JT_4_M_NOV_HUNT	4_M_NOV_HUNT
JT_4_M_NOV_HUNT	4_M_NOV_HUNT
JT_4_M_NOV_RUMIN	4_M_NOV_RUMIN
JT_4_M_OILMAN	4_M_OILMAN
JT_4_M_OLDFRIAR	4_M_OLDFRIAR
JT_4_M_OLDSCHOLAR	4_M_OLDSCHOLAR
JT_4_M_OLIVER	4_m_oliver
JT_4_M_OPERATION	4_M_OPERATION
JT_4_M_ORIENT01	4_M_ORIENT01
JT_4_M_ORIENT02	4_M_ORIENT02
JT_4_M_PATIENT	4_M_PATIENT
JT_4_M_PATRICK	4_M_PATRICK
JT_4_M_PAY_SOLDIER	4_M_PAY_SOLDIER
JT_4_M_PECOKNIGHT	4_M_PECOKNIGHT
JT_4_M_PEPPERROTI	4_m_pepperroti
JT_4_M_PHILMAN	4_M_PHILMAN
JT_4_M_PHILOFONTES	4_m_philofontes
JT_4_M_PIERROT	4_M_PIERROT
JT_4_M_POORSCHOLAR	4_m_poorscholar
JT_4_M_POPFESTA	4_m_popfesta
JT_4_M_PRESIDENT	4_M_PRESIDENT
JT_4_M_PROFESSORWORM	4_m_professorworm
JT_4_M_RACHMAN1	4_M_RACHMAN1
JT_4_M_RACHMAN2	4_M_RACHMAN2
JT_4_M_RACHOLD	4_M_RACHOLD
JT_4_M_RACHOLD1	4_M_RACHOLD1
JT_4_M_RAFLE_GR	4_M_RAFLE_GR
JT_4_M_RAFLE_OLD	4_M_RAFLE_OLD
JT_4_M_RAFLE_OR	4_M_RAFLE_OR
JT_4_M_RAFLE_VI	4_M_RAFLE_VI
JT_4_M_RAGI	4_M_RAGI
JT_4_M_RASWORD	4_M_RASWORD
JT_4_M_REBELLION	4_M_REBELLION
JT_4_M_REBELLION2	4_m_rebellion2
JT_4_M_REBELLION3	4_m_rebellion3
JT_4_M_REDMAN	4_m_redman
JT_4_M_REDSWORD	4_M_REDSWORD
JT_4_M_REIDIN_KURS	4_M_REIDIN_KURS
JT_4_M_REINDEER	4_M_REINDEER
JT_4_M_REKENBER	4_M_REKENBER
JT_4_M_REPAIR	4_M_REPAIR
JT_4_M_ROEL	4_m_roel
JT_4_M_ROGUE	4_M_ROGUE
JT_4_M_ROKI	4_M_ROKI
JT_4_M_ROKI2	4_M_ROKI2
JT_4_M_ROOKIE	4_m_rookie
JT_4_M_ROTERT	4_M_ROTERT
JT_4_M_ROYALGUARD	4_M_ROYALGUARD
JT_4_M_RUPERT	4_m_rupert
JT_4_M_RUSBALD	4_M_RUSBALD
JT_4_M_RUSCHILD	4_M_RUSCHILD
JT_4_M_RUSKING	4_M_RUSKING
JT_4_M_RUSKNIGHT	4_M_RUSKNIGHT
JT_4_M_RUSMAN1	4_M_RUSMAN1
JT_4_M_RUSMAN2	4_M_RUSMAN2
JT_4_M_SAGE_A	4_M_SAGE_A
JT_4_M_SAGE_C	4_M_SAGE_C
JT_4_M_SAKRAY	4_m_sakray
JT_4_M_SAKRAYROYAL	4_m_sakrayroyal
JT_4_M_SAKRAY_TIED	4_M_SAKRAY_TIED
JT_4_M_SALVATION	4_M_SALVATION
JT_4_M_SANTA	4_M_SANTA
JT_4_M_SCIENCE	4_M_SCIENCE
JT_4_M_SEAMAN	4_M_SEAMAN
JT_4_M_SEANMCCURDY	4_m_seanmccurdy
JT_4_M_SEIREN_UC	4_m_seiren_uc
JT_4_M_SE_MOON	4_m_se_moon
JT_4_M_SE_STAR	4_m_se_star
JT_4_M_SHADOWCHASER	4_M_SHADOWCHASER
JT_4_M_SILVANO	4_m_silvano
JT_4_M_SILVANO_D	4_m_silvano_d
JT_4_M_SITDOWN	4_M_SITDOWN
JT_4_M_SIT_NOVICE	4_M_SIT_NOVICE
JT_4_M_SNOWMAN	4_M_SNOWMAN
JT_4_M_SNOWMAN_B	4_M_SNOWMAN_B
JT_4_M_SNOWMAN_G	4_M_SNOWMAN_G
JT_4_M_SNOWMAN_R	4_M_SNOWMAN_R
JT_4_M_SOCCER7	4_M_SOCCER7
JT_4_M_SOCCER9	4_M_SOCCER9
JT_4_M_SOULREAPER	4_m_soulreaper
JT_4_M_SURA	4_M_SURA
JT_4_M_SWD_RENO	4_m_swd_reno
JT_4_M_SWORDMAN	4_M_SWORDMAN
JT_4_M_TAMARIN	4_M_TAMARIN
JT_4_M_TATIO	4_M_TATIO
JT_4_M_TELEPORTER	4_M_TELEPORTER
JT_4_M_THAIAYO	4_M_THAIAYO
JT_4_M_THAIOLD	4_M_THAIOLD
JT_4_M_THAIONGBAK	4_M_THAIONGBAK
JT_4_M_THIEF_RUMIN	4_M_THIEF_RUMIN
JT_4_M_TRAINEE	4_M_TRAINEE
JT_4_M_TRISTAN	4_M_TRISTAN
JT_4_M_TUFFOLD	4_M_TUFFOLD
JT_4_M_TWBOY	4_M_TWBOY
JT_4_M_TWMASKMAN	4_M_TWMASKMAN
JT_4_M_TWMIDMAN	4_M_TWMIDMAN
JT_4_M_TWOLDMAN	4_M_TWOLDMAN
JT_4_M_TWTEAMAN	4_M_TWTEAMAN
JT_4_M_UMCHIEF	4_M_UMCHIEF
JT_4_M_UMDANCEKID	4_M_UMDANCEKID
JT_4_M_UMDANCEKID2	4_M_UMDANCEKID2
JT_4_M_UMKID	4_M_UMKID
JT_4_M_UMOLDMAN	4_M_UMOLDMAN
JT_4_M_UMSOLDIER	4_M_UMSOLDIER
JT_4_M_UNCLEKNIGHT	4_M_UNCLEKNIGHT
JT_4_M_URGENT_MAN	4_M_URGENT_MAN
JT_4_M_VACATION_MARAM	4_M_VACATION_MARAM
JT_4_M_YATTWARP	4_m_yattwarp
JT_4_M_YOUNGKNIGHT	4_M_YOUNGKNIGHT
JT_4_M_YOYOROGUE	4_M_YOYOROGUE
JT_4_M_YURI	4_M_YURI
JT_4_M_ZONDAMAN	4_M_ZONDAMAN
JT_4_M_ZONDAOYAJI	4_M_ZONDAOYAJI
JT_4_NASARIAN	4_teddy_bear
JT_4_NASARIAN_EM	4_teddy_bear_em
JT_4_NASARIN	4_NASARIN
JT_4_NECORING	4_NECORING
JT_4_NFBAT	4_NFBAT
JT_4_NFCOCK	4_NFCOCK
JT_4_NFCOFFIN	4_NFCOFFIN
JT_4_NFWISP	4_NFWISP
JT_4_NONMYSTCASE	4_NONMYSTCASE
JT_4_NPC_TRAP	4_NPC_TRAP
JT_4_OCTOPUS_LEG	4_OCTOPUS_LEG
JT_4_ORCLADY	4_ORCLADY
JT_4_ORCLADY2	4_ORCLADY2
JT_4_ORCWARRIOR	4_ORCWARRIOR
JT_4_ORCWARRIOR2	4_ORCWARRIOR2
JT_4_PCCOUNT	clear_npc
JT_4_PD_BRACHI	4_PD_BRACHI
JT_4_PD_BRACHIOS	4_PD_BRACHIOS
JT_4_PD_GOLDDRAGON	4_PD_GOLDDRAGON
JT_4_PD_PLESI	4_PD_PLESI
JT_4_PD_PLESIO	4_PD_PLESIO
JT_4_PD_TAMADORA	4_PD_TAMADORA
JT_4_PD_TYRA	4_PD_TYRA
JT_4_PD_TYRANOS	4_PD_TYRANOS
JT_4_PD_ZAEROG	4_PD_ZAEROG
JT_4_PECOPECO	4_PECOPECO
JT_4_POINT_BLACK	4_point_black
JT_4_POINT_BLACK	4_point_black
JT_4_POINT_BLUE	4_point_blue
JT_4_POINT_BLUE	4_point_blue
JT_4_POINT_PURPLE	4_point_purple
JT_4_POINT_RED	4_point_red
JT_4_POINT_RED	4_point_red
JT_4_POINT_WHITE	4_point_white
JT_4_POINT_WHITE	4_point_white
JT_4_POINT_YELLOW	4_point_yellow
JT_4_POINT_YELLOW	4_point_yellow
JT_4_PORING	4_PORING
JT_4_PURPLE_WARP	4_PURPLE_WARP
JT_4_RAGFES_06	4_ragfes_06
JT_4_RAGFES_10	4_ragfes_10
JT_4_RAGFES_11	4_ragfes_11
JT_4_RAGFES_15	4_ragfes_15
JT_4_RAGGLER	4_raggler
JT_4_RAWREL	4_RAWREL
JT_4_RED_FLOWER	4_RED_FLOWER
JT_4_ROPEPILE	4_ROPEPILE
JT_4_RUNESTONE	4_RUNESTONE
JT_4_RUS_DWOLF	4_RUS_DWOLF
JT_4_SCATLETON	4_SCATLETON
JT_4_SCR_AT_ROBOTS	4_SCR_AT_ROBOTS
JT_4_SCR_MT_ROBOTS	4_SCR_MT_ROBOTS
JT_4_SEA_OTTER	4_SEA_OTTER
JT_4_SERVICE_30_F_01	4_SERVICE_30_F_01
JT_4_SERVICE_30_M_01	4_SERVICE_30_M_01
JT_4_SEYREN	4_SEYREN
JT_4_SHECIL	4_SHECIL
JT_4_SHOAL	4_SHOAL
JT_4_SKULL_MUD	4_SKULL_MUD
JT_4_SNAKE_LORD	4_snake_lord
JT_4_SOIL	4_SOIL
JT_4_SOLDIER_SKEL	4_SOLDIER_SKEL
JT_4_SPRING_RABBIT	4_SPRING_RABBIT
JT_4_STAR_BOX_ATK1	4_treasure_box
JT_4_STAR_BOX_ATK2	4_treasure_box
JT_4_STAR_BOX_BARRIER1	4_treasure_box
JT_4_STAR_BOX_BARRIER2	4_treasure_box
JT_4_STAR_BOX_CON1	4_star_navy_box
JT_4_STAR_BOX_CON2	4_star_navy_box
JT_4_STAR_BOX_CRT1	4_star_rainbow_box
JT_4_STAR_BOX_CRT2	4_star_rainbow_box
JT_4_STAR_BOX_H	4_treasure_box
JT_4_STAR_BOX_HP1	4_treasure_box
JT_4_STAR_BOX_HP2	4_treasure_box
JT_4_STAR_BOX_MASTER	4_treasure_box
JT_4_STAR_BOX_N	4_treasure_box
JT_4_STAR_BOX_POW1	4_star_navy_box
JT_4_STAR_BOX_POW2	4_star_navy_box
JT_4_STAR_BOX_SCORE	4_star_rainbow_box
JT_4_STAR_BOX_SPL1	4_star_navy_box
JT_4_STAR_BOX_SPL2	4_star_navy_box
JT_4_STAR_BOX_STA1	4_star_navy_box
JT_4_STAR_BOX_STA2	4_star_navy_box
