str	version	fps	maxKey	layers	frames	textures	blend(src/dst)
cross.str	148	60	121	11	248	cross1.bmp;pokjuk_a.bmp	0/0;5/7
cross_rain.str	148	60	20	7	30	20tex	0/0;5/6;5/7
cross_rain_bottom.str	148	60	60	19	80	37tex	0/0;5/6;5/7
cross_rain_cast.str	148	60	60	10	45	11tex	0/0;5/7
cross_rain_cast_bottom.str	148	60	60	5	12	14tex	0/0;5/6;5/7
crystal_impact.str	148	60	37	49	240	cry_ice_01.tga;cry_snow_01.bmp;fro_smoke_01.tga	0/0;5/6;5/7
crystal_impact_bottom.str	148	60	35	5	12	12tex	0/0;5/6;5/7
crystal_impact_buff.str	148	60	75	19	78	18tex	0/0;5/6;5/7
crystal_impact_cast.str	148	60	35	12	55	cry_glow_01.bmp;cry_ice_01.tga;cry_smoke_01.tga	0/0;5/6;5/7
crystal_impact_cast_bottom.str	148	60	35	9	36	9tex	0/0;5/6;5/7
crystal_impact_hit.str	148	60	13	15	60	7tex	0/0;5/7
crystallization.str	148	60	600	14	53	21tex	0/0;5/6;5/7
crystallization.str	148	60	600	14	53	21tex	0/0;5/6;5/7
cure.str	148	60	107	12	388	cure.bmp;freeze_ice_part.bmp;lord_blast_e_small.bmp;round_sphere.bmp;thunder_center.bmp	0/0;5/7
cure_min.str	148	60	67	7	222	freeze_ice_part.bmp;lord_blast_e_small.bmp;thunder_center.bmp	0/0;5/7
cwound.str	148	60	60	10	63	lens_r.bmp	0/0;5/7
dancing_knife_cast.str	148	60	30	29	108	9tex	0/0;5/6;5/7
dancing_knife_cast_bottom.str	148	60	30	8	27	9tex	0/0;5/6;5/7
dancing_knife_hit.str	148	60	15	14	59	12tex	0/0;5/6;5/7
dancing_knife_skill_01.str	148	60	40	28	163	dan_slash_01.bmp;dan_slash_02.bmp;dan_slash_02.tga;dan_sword_01.bmp;dan_sword_01.tga	0/0;5/6;5/7
dancing_knife_skill_02.str	148	60	20	27	84	dan_slash_01.bmp;dan_slash_02.bmp;dan_slash_02.tga;dan_sword_01.bmp;dan_sword_01.tga	0/0;5/6;5/7
dancing_knife_skill_bottom_01.str	148	60	40	9	48	12tex	0/0;5/6;5/7
dancing_knife_skill_bottom_02.str	148	60	20	9	26	12tex	0/0;5/6;5/7
dancingblade.str	148	60	60	8	131	lens_b.bmp;ring_b.bmp	0/0;5/7
dandan1.str	148	60	125	13	62	dandan1.bmp	0/0;5/7
darklordcloak.str	148	60	85	4	11	20tex	0/0;5/6;5/7
darklordcloak02.str	148	60	85	4	11	20tex	0/0;5/6;5/7
deadly_projection_cast.str	148	60	40	25	88	dea_smk_01.bmp;dea_smk_01.tga	0/0;5/6;5/7
deadly_projection_cast_bottom.str	148	60	40	7	26	11tex	0/0;5/6;5/7
deadly_projection_hit.str	148	60	50	13	52	28tex	0/0;2/1;5/6;5/7
deadlypoison.str	148	60	60	18	75	21tex	0/0;5/6;5/7
deadlypoison.str	148	60	60	18	75	21tex	0/0;5/6;5/7
deepblindtrap.str	148	60	60	2	5	12tex	0/0;5/6
deepblindtrap_bottom.str	148	60	60	4	13	dee_smoke.tga;dee_trap.tga	0/0;5/6
deepblindtrap_cast.str	148	60	52	2	3	13tex	0/0;5/6
deepblindtrap_hit.str	148	60	25	5	20	dee_hit_00.tga;dee_hit_01.tga;dee_hit_02.tga;dee_hit_03.tga;dee_smoke_01.tga	0/0;5/6
defense.str	148	60	120	7	84	pokjuk_c.bmp;ring_b.bmp;shield.bmp;thunder_pang.bmp	0/0;5/7
deffender.str	148	60	60	4	31	pokjuk_d.bmp;ring_b.bmp;shield.bmp	0/0;5/7
deffender.str	148	60	60	5	30	ome.bmp;pokjuk_d.bmp;ring_b.bmp	0/0;5/7
deft_stab.str	148	60	21	9	30	12tex	0/0;5/6;5/7
destructive_hurricane.str	148	60	30	8	37	16tex	0/0;5/6;5/7
destructive_hurricane_bottom.str	148	60	40	3	14	6tex	0/0;5/7
destructive_hurricane_cast.str	148	60	30	2	3	8tex	0/0;5/7
destructive_hurricane_cast_bottom.str	148	60	30	3	6	7tex	0/0;5/6;5/7
destructive_hurricane_climax.str	148	60	30	5	20	13tex	0/0;5/7
destructive_hurricane_hit.str	148	60	17	9	38	7tex	0/0;5/7
detoxication.str	148	60	95	22	869	cap_blue.bmp;cap_red.bmp;depoison.bmp;pika02.bmp;ring.bmp	0/0;5/7
devil.str	148	60	145	9	272	20tex	0/0;12/12;5/6;5/7
devil_gas.str	148	60	90	9	270	gas_out.bmp;poison_smoke.bmp	0/0;5/7
devotion.str	148	60	90	6	21	devotion.bmp;freezing_particle.bmp;ring_b.bmp;thunder_center.bmp	0/0;2/1;5/7
dfear.str	148	60	60	7	18	ring.bmp;ring_b.bmp	0/0;5/7
diamond_storm.str	148	60	22	13	54	6tex	0/0;5/6;5/7
diamond_storm_bottom.str	148	60	35	5	12	17tex	0/0;5/6;5/7
diamond_storm_cast.str	148	60	59	15	70	dia_particle_1.bmp;dia_snowflake_00.bmp	0/0;5/7
diamond_storm_cast_bottom.str	148	60	59	5	12	17tex	0/0;5/6;5/7
diamond_storm_hit.str	148	60	15	17	56	8tex	0/0;5/6;5/7
diluvio_armor.str	148	60	119	23	100	24tex	0/0;5/6;5/7
diluvio_cast.str	148	60	59	11	30	15tex	0/0;5/7
diluvio_cast_bottom.str	148	60	59	6	21	16tex	0/0;5/6;5/7
diluvio_cold_force _bottom.str	148	60	39	6	27	10tex	0/0;5/6;5/7
diluvio_cold_force.str	148	60	45	13	36	27tex	0/0;5/6;5/7
diluvio_cold_force_bottom.str	148	60	39	6	27	10tex	0/0;5/6;5/7
diluvio_flametechnic.str	148	60	24	5	14	16tex	0/0;5/6;5/7
diluvio_flametechnic_bottom.str	148	60	39	5	20	11tex	0/0;5/6;5/7
diluvio_hit.str	148	60	15	17	56	8tex	0/0;5/6;5/7
diluvio_ice.str	148	60	72	51	188	36tex	0/0;5/6;5/7
diluvio_ice_bottom.str	148	60	72	6	19	14tex	0/0;5/6;5/7
double_bowlingbash.str	148	60	43	48	283	11tex	0/0;5/6;5/7
dragon_h.str	148	60	60	7	18	ring.bmp;ring_b.bmp	0/0;5/7
dragonic_breath.str	148	60	45	9	36	22tex	0/0;5/6;5/7
dragonic_breath_bottom.str	148	60	45	4	17	dra_glow_00.tga;dra_hit_00.bmp	0/0;5/6;5/7
dragonic_breath_hit.str	148	60	33	2	5	10tex	0/0;5/7
dragonnic_ora.str	148	60	45	5	20	16tex	0/0;5/6;5/7
dragonnic_ora_bottom.str	148	60	50	9	36	9tex	0/0;5/6;5/7;6/6
dragonnic_ora_buff.str	148	60	60	9	38	13tex	0/0;5/7
dragonnic_ora_buff_bottom.str	148	60	60	2	5	dra_glow_1.bmp	0/0;5/7
dragonnic_ora_hit.str	148	60	32	7	34	12tex	0/0;5/6;5/7
dragonnic_ora_hit_bottom.str	148	60	67	9	36	15tex	0/0;5/6;5/7;6/6
drgauroraeffect.str	148	60	300	15	70	8tex	0/0;5/6;5/7
drgbgeffect.str	148	60	300	13	60	7tex	0/0;5/6;5/7
dropitem_blue.str	148	60	60	10	101	dro_light_01.bmp;dro_light_01.tga;dro_star_01.bmp	0/0;5/6;5/7
dropitem_blue_bottom.str	148	60	60	14	55	dro_aura_bottom_01.bmp;dro_glow_bottom_01.bmp;dro_glow_bottom_01.tga;dro_glow_sub_bottom_01.tga	0/0;5/6;5/7
dropitem_green.str	148	60	60	10	101	dro_light_01.bmp;dro_light_01.tga;dro_star_01.bmp	0/0;5/6;5/7
dropitem_green_bottom.str	148	60	60	14	55	dro_aura_bottom_01.bmp;dro_glow_bottom_01.bmp;dro_glow_bottom_01.tga;dro_glow_sub_bottom_01.tga	0/0;5/6;5/7
dropitem_pink.str	148	60	60	10	101	dro_light_01.bmp;dro_light_01.tga;dro_star_01.bmp	0/0;5/6;5/7
dropitem_pink_bottom.str	148	60	60	14	55	dro_aura_bottom_01.bmp;dro_glow_bottom_01.bmp;dro_glow_bottom_01.tga;dro_glow_sub_bottom_01.tga	0/0;5/6;5/7
dropitem_purple.str	148	60	60	10	101	dro_light_01.bmp;dro_light_01.tga;dro_star_01.bmp	0/0;5/6;5/7
dropitem_purple_bottom.str	148	60	60	14	55	dro_aura_bottom_01.bmp;dro_glow_bottom_01.bmp;dro_glow_bottom_01.tga;dro_glow_sub_bottom_01.tga	0/0;5/6;5/7
dropitem_red.str	148	60	60	10	101	dro_light_01.bmp;dro_light_01.tga;dro_star_01.bmp	0/0;5/6;5/7
dropitem_red_bottom.str	148	60	60	14	55	dro_aura_bottom_01.bmp;dro_glow_bottom_01.bmp;dro_glow_bottom_01.tga;dro_glow_sub_bottom_01.tga	0/0;5/6;5/7
dropitem_yellow.str	148	60	60	10	101	dro_light_01.bmp;dro_light_01.tga;dro_star_01.bmp	0/0;5/6;5/7
dropitem_yellow_bottom.str	148	60	60	14	55	dro_aura_bottom_01.bmp;dro_glow_bottom_01.bmp;dro_glow_bottom_01.tga;dro_glow_sub_bottom_01.tga	0/0;5/6;5/7
dtdt.str	148	60	110	31	158	9tex	0/0;5/7
dust.str	148	60	130	7	640	gloria_bible.bmp;gloria_nun.bmp	0/0;5/6;5/7
earthhit.str	148	60	17	7	81	dust_part.bmp;freeze_ice_part.bmp;pikapika.bmp;stone_part.bmp	0/0;5/7
ef_mon_electric.str	148	60	140	4	19	17tex	0/0;5/6;5/7
ef_mon_electric2.str	148	60	140	4	19	17tex	0/0;5/6;5/7
ef_mon_electric3.str	148	60	140	4	19	17tex	0/0;5/6;5/7
ef_mon_explodngwave.str	148	60	140	4	19	17tex	0/0;5/6;5/7
ef_mon_explodngwave2.str	148	60	140	4	19	17tex	0/0;5/6;5/7
ef_mon_explodngwave3.str	148	60	140	4	19	17tex	0/0;5/6;5/7
effligo.str	148	60	60	22	117	8tex	0/0;5/6;5/7
effligo_bottom.str	148	60	125	7	28	eff_circle_01.bmp;eff_crack_02.bmp;eff_glow_01.tga	0/0;5/6;5/7
effligo_hit.str	148	60	130	11	49	11tex	0/0;2/1;5/6;5/7
efst_deadly_defeasance.str	148	60	51	7	18	18tex	0/0;5/6;5/7
efst_nightmare.str	148	60	63	9	24	13tex	0/0;1/6;5/6
elemental_buster_cast.str	148	60	39	4	9	bus_bg.bmp;bus_blk_01.tga;bus_land_00.bmp	0/0;5/6;5/7
elemental_buster_fire.str	148	60	44	9	26	37tex	0/0;5/6;5/7
elemental_buster_fire_bottom.str	148	60	49	4	13	6tex	0/0;5/6;5/7
elemental_buster_fire_hit.str	148	60	30	4	19	7tex	0/0;5/6;5/7
elemental_buster_land.str	148	60	44	9	26	37tex	0/0;5/6;5/7
elemental_buster_land_bottom.str	148	60	49	4	13	6tex	0/0;5/6;5/7
elemental_buster_land_hit.str	148	60	30	4	19	7tex	0/0;5/6;5/7
elemental_buster_poison.str	148	60	44	9	26	37tex	0/0;1/6;5/7
elemental_buster_poison_bottom.str	148	60	49	4	13	6tex	0/0;5/6;5/7
elemental_buster_poison_hit.str	148	60	30	4	19	7tex	0/0;5/6;5/7
elemental_buster_water.str	148	60	44	15	56	38tex	0/0;5/6;5/7
elemental_buster_water_bottom.str	148	60	49	4	13	6tex	0/0;5/6;5/7
elemental_buster_water_hit.str	148	60	30	4	19	7tex	0/0;5/6;5/7
elemental_buster_wind.str	148	60	44	15	56	38tex	0/0;5/6;5/7
elemental_buster_wind_bottom.str	148	60	49	4	13	6tex	0/0;5/6;5/7
elemental_buster_wind_hit.str	148	60	30	4	19	7tex	0/0;5/6;5/7
enc_earth.str	148	60	24	6	15	dust_part.bmp;freeze_ice_part.bmp;stone_part.bmp	0/0;5/7
enc_fire.str	148	60	40	8	46	invenom_ring.bmp;lens_r.bmp;lord_blast_f.bmp;pokjuk_c.bmp	0/0;5/7
enc_ice.str	148	60	50	6	65	freeze_a.bmp;freeze_ice.bmp;freeze_ice_part.bmp	0/0;5/7
enc_wind.str	148	60	43	9	135	pokjuk_c.bmp;shockwave_c.bmp;shockwave_d.bmp;shockwave_e.bmp	0/0;5/7
energycoat.str	148	60	60	4	13	10tex	0/0;5/7
enervation.str	148	60	120	2	5	enervation_01.bmp;enervation_02.bmp;enervation_03.bmp;enervation_04.bmp	0/0;5/7
eraser_cutter.str	148	60	41	12	33	freeze_ice_part.bmp;lens_b.bmp;spark.bmp	0/0;5/7
eternal.str	148	60	120	11	74	barbar001.bmp;gun1.bmp;ring_b.bmp	0/0;5/7
eternal_slash.str	148	60	24	14	43	19tex	0/0;5/6;5/7
eternal_slash_bottom.str	148	60	24	8	21	11tex	0/0;5/6;5/7
eternal_slash_count_01.str	148	60	92	7	28	7tex	0/0;5/6;5/7
eternal_slash_count_02.str	148	60	92	7	28	7tex	0/0;5/6;5/7
eternal_slash_count_03.str	148	60	92	7	28	7tex	0/0;5/6;5/7
eternal_slash_count_04.str	148	60	92	7	28	7tex	0/0;5/6;5/7
eternal_slash_count_05.str	148	60	92	7	28	7tex	0/0;5/6;5/7
eternal_slash_hit.str	148	60	16	13	50	11tex	0/0;5/6;5/7
exorcism_of_malicuous_soul.str	148	60	80	4	21	12tex	0/0;5/6;5/7
explosionblaster.str	148	60	30	8	37	22tex	0/0;5/6;5/7
explosionblaster_bottom.str	148	60	24	4	11	6tex	0/0;5/6;5/7
explosionblaster_hit.str	148	60	60	7	25	26tex	0/0;2/1;5/7
explosive_powder.str	148	60	53	52	272	22tex	0/0;5/6;5/7
ez_cure.str	148	60	107	11	315	freeze_ice_part.bmp;lord_blast_e_small.bmp;round_sphere.bmp;thunder_center.bmp	0/0;5/7
fairy_dusty.str	148	60	65	16	55	fai_flare_00.bmp;fai_particle_00.bmp;fai_particle_01.bmp	0/0;5/7
falling_snow.str	148	60	180	19	138	pika02.bmp;snow1.bmp;snow2.bmp;snow3.bmp;snow_a.bmp	0/0;5/7
falling_star.str	148	60	75	23	118	9tex	0/0;5/7
fatal_shadow_crow.str	148	60	37	14	45	34tex	0/0;5/6;5/7
fatal_shadow_crow_bottom.str	148	60	40	3	8	22tex	0/0;5/6;5/7
fatal_shadow_crow_hit.str	148	60	19	17	62	23tex	0/0;5/6;5/7
feath.str	148	60	152	27	142	fath1.bmp;fath2.bmp;fath3.bmp	0/0;5/7
fhlostwing.str	148	60	125	17	50	56tex	0/0;5/6;5/7
fire dragon.str	148	60	120	6	41	12tex	0/0;5/7
fire.str	148	60	40	14	276	fire_a.bmp;fire_b.bmp;lord_blast_b.bmp;pika02.bmp	0/0;5/7
fire_rain.str	148	60	58	8	227	blast_stick.bmp;fire_blast.bmp;lord_blast_c.bmp;lord_blast_d.bmp	0/0;5/7
firedance.str	148	60	65	10	81	qt_2.bmp	0/0;5/7
firehit.str	148	60	26	13	80	firering.bmp;invenom_ring.bmp;lens_r.bmp;pokjuk_c.bmp	0/0;5/7
firehit1.str	148	60	26	10	72	firering.bmp;invenom_ring.bmp;lens_r.bmp;pokjuk_c.bmp	0/0;5/7
firehit2.str	148	60	26	10	72	firering.bmp;invenom_ring.bmp;lens_r.bmp;pokjuk_c.bmp	0/0;5/7
firehit3.str	148	60	26	10	72	firering.bmp;invenom_ring.bmp;lens_r.bmp;pokjuk_c.bmp	0/0;5/7
firepillar.str	148	60	113	11	384	7tex	0/0;5/7
firepillarbomb.str	148	60	75	11	347	blast_stick.bmp;fire_blast.bmp;fire_smoke_b.bmp;lord_blast_c.bmp;lord_blast_d.bmp	0/0;5/7
firewall.str	148	60	40	11	186	fire_a.bmp;fire_b.bmp;pika01.bmp;pika03.bmp	0/0;5/7
firewall1.str	148	60	55	8	145	fire_a.bmp;fire_b.bmp	0/0;5/7
firewall2.str	148	60	40	9	118	fire_a.bmp;fire_b.bmp	0/0;5/7
firewall_blue.str	148	60	40	9	118	fire_a.bmp;fire_b.bmp	0/0;5/7
firewall_per.str	148	60	40	9	118	fire_a.bmp;fire_b.bmp	0/0;5/7
firewall_sky.str	148	60	40	9	118	fire_a.bmp;fire_b.bmp	0/0;5/7
firework.str	148	60	145	17	146	8tex	0/0;5/7
firework.str	148	60	145	17	146	8tex	0/0;5/7
firmfaith.str	148	60	70	17	84	31tex	0/0;5/6;5/7
firstbrand.str	148	60	60	4	9	fir_mark_1.tga	0/0;5/6;5/7
firstbrand_aura.str	148	60	69	6	27	22tex	0/0;5/6
firstbrand_hit.str	148	60	14	13	60	7tex	0/0;5/6;5/7
firstbrand_start.str	148	60	60	8	33	fir_mark_1.tga	0/0;5/6;5/7
firstfaithpower.str	148	60	120	9	28	fir_roon_1.bmp;fir_roon_1.tga;fir_roon_2.bmp	0/0;5/6;5/7
firstfaithpower_cast.str	148	60	100	7	32	6tex	0/0;5/7
firstfaithpower_start.str	148	60	52	3	10	13tex	0/0;5/7
flametrap.str	148	60	60	4	17	12tex	0/0;5/6;5/7
flametrap_bottom.str	148	60	60	6	23	fla_circle_00.bmp;fla_glow_00.tga;fla_trap.tga	0/0;5/6;5/7
flametrap_cast.str	148	60	119	5	22	12tex	0/0;5/6;5/7
flametrap_hit.str	148	60	30	4	15	15tex	0/0;5/6;5/7
flash_kick.str	148	60	40	3	10	starr_1.bmp	0/0;5/7
floral_waltz.str	148	60	140	10	45	flower1_1.bmp;flower1_2.bmp;flower1_3.bmp	0/0;5/7
flower_leaf.str	148	60	120	13	525	6tex	0/0;5/7
flower_sesami.str	148	60	182	3	34	flower.bmp	0/0;5/7
flower_sesami2.str	148	60	180	2	181	flower.bmp	5/7
flower_sesami3.str	148	60	148	3	294	flower.bmp	5/7
flower_sesami4.str	148	60	146	2	147	flower.bmp	5/7
flutter_butterfly.str	148	60	140	24	155	6tex	0/0;5/7
flutter_butterfly.str	148	60	140	25	160	6tex	0/0;5/7
food_agi.str	148	60	90	10	139	6tex	0/0;5/7
food_dex.str	148	60	90	10	139	6tex	0/0;5/7
food_int.str	148	60	90	10	139	6tex	0/0;5/7
food_luk.str	148	60	90	10	139	6tex	0/0;5/7
food_str.str	148	60	90	10	139	6tex	0/0;5/7
food_vit.str	148	60	90	10	139	6tex	0/0;5/7
footprint_blossom.str	148	60	65	16	69	blo_glow.tga;blo_particle.bmp;blo_petal.bmp;blo_petal.tga	0/0;5/6;5/7
footprint_blossom_bottom.str	148	60	70	11	70	blo_glow.tga;blo_petal.tga	0/0;5/6
footprint_blue.str	148	60	85	19	126	14tex	0/0;5/6;5/7
footprint_bottom_blue.str	148	60	85	4	32	foo_bottom_00.bmp;foo_bottom_01.bmp;foo_glow.TGA;foo_light.bmp	0/0;5/6;5/7
footprint_bottom_panda_basic.str	148	60	75	9	40	21tex	0/0;5/6;5/7
footprint_bottom_purple.str	148	60	85	4	32	foo_bottom_00.bmp;foo_bottom_01.bmp;foo_glow.TGA;foo_light.bmp	0/0;5/6;5/7
footprint_bottom_red.str	148	60	85	4	32	foo_bottom_00.bmp;foo_bottom_01.bmp;foo_glow.TGA;foo_light.bmp	0/0;5/6;5/7
footprint_bottom_yellow.str	148	60	85	4	32	foo_bottom_00.bmp;foo_bottom_01.bmp;foo_glow.TGA;foo_light2.bmp	0/0;5/6;5/7
footprint_butterfly_purple.str	148	60	74	16	57	13tex	0/0;5/6;5/7
footprint_butterfly_yellow.str	148	60	74	16	57	13tex	0/0;5/6;5/7
footprint_divine.str	148	60	90	22	87	15tex	0/0;5/6;5/7
footprint_divine_blue.str	148	60	90	22	87	15tex	0/0;5/6;5/7
footprint_divine_blue_bottom.str	148	60	97	13	78	17tex	0/0;5/6;5/7
footprint_divine_bottom.str	148	60	97	12	69	17tex	0/0;5/6;5/7
footprint_feather.str	148	60	104	21	84	fea_cross.bmp;fea_dot.bmp;fea_feather_00.tga;fea_feather_01.tga;fea_glow.tga	0/0;5/6;5/7
footprint_nyar_blue.str	148	60	70	20	703	nya_glow.tga;nya_shine_00.bmp;nya_shine_01.bmp;nya_snow.tga	0/0;5/6;5/7
footprint_nyar_blue_bottom.str	148	60	80	4	15	nya_foot.tga;nya_foot_back.tga	0/0;5/6;5/7
footprint_nyar_purple.str	148	60	70	20	703	nya_glow.tga;nya_shine_00.bmp;nya_shine_01.bmp;nya_snow.tga	0/0;5/6;5/7
footprint_nyar_purple_bottom.str	148	60	80	4	15	nya_foot.tga;nya_foot_back.tga	0/0;5/6;5/7
footprint_panda.str	148	60	75	10	43	pan_particle_00.bmp;pan_particle_01.bmp;pan_smoke.tga	0/0;5/6;5/7
footprint_panda_bottom_color.str	148	60	75	8	39	20tex	0/0;5/6;5/7
footprint_purple.str	148	60	85	19	126	13tex	0/0;5/6;5/7
footprint_red.str	148	60	85	19	126	13tex	0/0;5/6;5/7
footprint_shibasays.str	148	60	75	3	10	shiba_00.tga;shiba_01.tga	0/0;5/6;5/7
footprint_yellow.str	148	60	85	19	126	13tex	0/0;5/6;5/7
four_charm_earth.str	148	60	120	27	191	35tex	0/0;5/6;5/7
four_charm_earth_bottom.str	148	60	120	10	59	6tex	0/0;5/6;5/7
four_charm_fire.str	148	60	120	18	85	53tex	0/0;5/6;5/7
four_charm_fire_bottom.str	148	60	120	6	39	fou_fire_glow.tga;fou_fire_light.bmp;fou_fire_magic.bmp;fou_fire_magic_back.tga	0/0;5/6;5/7
four_charm_ice.str	148	60	120	17	91	49tex	0/0;5/6;5/7
four_charm_ice_bottom.str	148	60	120	6	39	fou_ice_glow.tga;fou_ice_light.bmp;fou_magic_ice.bmp;fou_magic_ice_back.tga	0/0;5/6;5/7
four_charm_wind.str	148	60	120	15	76	46tex	0/0;5/6;5/7
four_charm_wind_bottom.str	148	60	120	6	39	fou_wind_glow.tga;fou_wind_light.bmp;fou_wind_magic.bmp;fou_wind_magic_back.tga	0/0;5/6;5/7
fp_dragon_face_3d.str	148	60	70	6	37	18tex	0/0;5/6;5/7
fp_dragon_face_3d_bottom.str	148	60	70	2	9	dra_glow_back.tga	0/0;5/7
fp_dragon_face_basic_bottom_pink.str	148	60	110	8	59	16tex	0/0;5/6;5/7
fp_dragon_face_basic_pink.str	148	60	117	8	33	14tex	0/0;5/6;5/7
freeze.str	148	60	60	8	113	explosive_1_128.bmp;freeze_a.bmp;freeze_ice.bmp	0/0;5/7
freezed.str	148	60	60	5	20	freeze_a.bmp;freeze_ice.bmp	0/0;5/7
freezing.str	148	60	51	13	296	freezing_smoke.bmp;freezing_stick.bmp	0/0;5/7
frenzy_shot.str	148	60	22	9	36	22tex	0/0;5/6;5/7
frenzy_shot_hit.str	148	60	16	15	56	13tex	0/0;5/6;5/7
from_the_abyss_attack.str	148	60	18	10	41	18tex	0/0;5/6;5/7
from_the_abyss_shadow.str	148	60	91	6	27	17tex	0/0;5/6;5/7
from_the_abyss_shadowball.str	148	60	60	4	9	fro_blk_01.tga;fro_ring_01.bmp	0/0;5/6;5/7
from_the_abyss_shadowball_create.str	148	60	75	10	27	9tex	0/0;5/6;5/7
from_the_abyss_shadowball_die.str	148	60	18	6	23	fro_blk_01.tga;fro_light_01.bmp;fro_particle_01.bmp;fro_ring_01.bmp	0/0;5/6;5/7
froral_flareroad.str	148	60	92	18	63	16tex	0/0;5/6;5/7
froral_flareroad_bottom.str	148	60	315	6	67	fro_glow_01.bmp;fro_ground.bmp;fro_ground.tga	0/0;5/6;5/7
froral_flareroad_cast.str	148	60	60	9	40	fro_particle.bmp	0/0;5/7
froral_flareroad_cast_bottom.str	148	60	59	3	10	16tex	0/0;5/6;5/7
froral_flareroad_hit.str	148	60	22	3	10	6tex	0/0;5/7
frostbite.str	148	60	600	12	287	fro_ice_01.tga;fro_piece_01.tga;fro_piece_02.tga;fro_piece_03.tga;fro_smoke_01.tga	0/0;5/6;5/7
frostbite.str	148	60	600	12	287	fro_ice_01.tga;fro_piece_01.tga;fro_piece_02.tga;fro_piece_03.tga;fro_smoke_01.tga	0/0;5/6;5/7
frostbite_finish.str	148	60	59	20	75	10tex	0/0;5/6;5/7
frostbite_finish.str	148	60	59	20	75	10tex	0/0;5/6;5/7
frozen_slash.str	148	60	11	7	18	11tex	0/0;5/6;5/7
frozen_slash_cast.str	148	60	54	8	33	12tex	0/0;5/6;5/7
frozen_slash_cast_bottom.str	148	60	54	4	11	fro_snow_01.bmp;fro_snow_01.tga	0/0;5/6;5/7
frozen_slash_hit.str	148	60	13	15	60	7tex	0/0;5/7
frozen_slash_ice_01.str	148	60	22	5	24	fro_ice_01.bmp;fro_snow_01.bmp	0/0;5/7
frozen_slash_ice_02.str	148	60	24	8	33	fro_ice_01.bmp;fro_ice_01.tga;fro_smoke_01.tga;fro_snow_01.bmp	0/0;5/6;5/7
frozen_slash_ice_03.str	148	60	28	8	33	fro_ice_01.bmp;fro_ice_01.tga;fro_smoke_01.tga;fro_snow_01.bmp	0/0;5/6;5/7
frozen_slash_ice_04.str	148	60	31	8	33	fro_ice_01.bmp;fro_ice_01.tga;fro_smoke_01.tga;fro_snow_01.bmp	0/0;5/6;5/7
frozen_slash_ice_05.str	148	60	22	8	33	fro_ice_01.bmp;fro_ice_01.tga;fro_smoke_01.tga;fro_snow_01.bmp	0/0;5/6;5/7
frozen_slash_ice_06.str	148	60	25	8	33	fro_ice_01.bmp;fro_ice_01.tga;fro_smoke_01.tga;fro_snow_01.bmp	0/0;5/6;5/7
frozen_slash_ice_07.str	148	60	28	8	33	fro_ice_01.bmp;fro_ice_01.tga;fro_smoke_01.tga;fro_snow_01.bmp	0/0;5/6;5/7
frozen_slash_ice_08.str	148	60	31	8	33	fro_ice_01.bmp;fro_ice_01.tga;fro_smoke_01.tga;fro_snow_01.bmp	0/0;5/6;5/7
fruit.str	148	60	30	3	23	explosive_1_128.bmp;ring_b.bmp	0/0;5/7
fruit_.str	148	60	30	3	23	explosive_1_128.bmp;ring_b.bmp	0/0;5/7
fstone.str	148	60	120	5	316	soi.bmp;soi1.bmp;ston_of_intelligence.bmp	5/7
fstone.str	148	60	120	5	316	soi.bmp;soi1.bmp;ston_of_intelligence.bmp	5/7
full_bloomcherry_tree.str	148	60	180	27	210	pika02.bmp;sakura2_1.bmp;sakura2_2.bmp;snow3.bmp;ssgg.bmp	0/0;5/7
fullmoon_kick.str	148	60	140	11	40	8tex	0/0;5/7
fuumakouchiku.str	148	60	39	13	52	19tex	0/0;1/6;5/6;5/7
fuumakouchiku_blasting.str	148	60	60	20	75	48tex	0/0;5/6;5/7
fuumashouaku.str	148	60	35	9	34	12tex	0/0;1/6;5/6;5/7
fuumashouaku_00.str	148	60	59	20	89	10tex	0/0;1/6;5/6;5/7
galestorm.str	148	60	59	19	74	16tex	0/0;5/6;5/7
galestorm_arrow.str	148	60	29	10	43	9tex	0/0;5/6;5/7
galestorm_cast.str	148	60	239	7	42	13tex	0/0;5/6;5/7
galestorm_hit.str	148	60	20	6	21	7tex	0/0;5/6;5/7
gaspush.str	148	60	121	16	712	gas_out.bmp;gas_smoke.bmp;lord_blast_e_small.bmp	0/0;5/7
gc_darkcrow.str	148	60	80	2	9	darkcrow.bmp	0/0;5/7
gearwheel.str	148	60	240	5	12	gear1.tga;gear2.tga;gear3.tga;gear4.tga	0/0;5/6
gef_nocturn.str	148	60	30	18	75	16tex	0/0;5/6;5/7
gef_nocturn_cast.str	148	60	97	42	231	gef_note_b_01.tga;gef_note_b_02.tga;gef_note_p_01.tga;gef_note_p_02.tga	0/0;5/6;5/7
gef_nocturn_cast_bottom.str	148	60	90	5	20	gef_bottom_01.tga;gef_bottom_02.tga	0/0;5/6;5/7
ggh1st.str	148	60	196	23	230	12tex	0/0;5/6;5/7
gift_of_snow.str	148	60	180	15	92	pika02.bmp;snow1.bmp;snow2.bmp;snow3.bmp	0/0;5/7
gloom.str	148	60	90	6	15	17tex	0/0;5/7
gloria.str	148	60	130	7	640	gloria_bible.bmp;gloria_nun.bmp	0/0;5/6;5/7
gloria_min.str	148	60	84	6	165	gloria_bible.bmp;gloria_nun.bmp;melody_a.bmp;melody_b.bmp	0/0;5/7
